package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.applemango.runnerbe.feature.register.onboard.component.OnboardContent,OnboardContent,1,1,1,0,0,0,0,0,1,6,
team.applemango.runnerbe.feature.register.onboard.component.OnboardRouter,OnboardRouter,1,0,1,0,0,0,0,0,1,13,
team.applemango.runnerbe.feature.register.onboard.component.UnregisterDialog,UnregisterDialog,1,1,1,0,0,0,0,0,1,4,
team.applemango.runnerbe.feature.register.onboard.component.step.EmailVerify,EmailVerify,1,0,1,0,0,0,0,0,1,17,
team.applemango.runnerbe.feature.register.onboard.component.step.EmailVerifyLinkNoticeDialog,EmailVerifyLinkNoticeDialog,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.register.onboard.component.step.EmployeeIdVerify,EmployeeIdVerify,1,0,1,0,0,0,0,0,1,7,
team.applemango.runnerbe.feature.register.onboard.component.step.PhotoTakenTypeDialog,PhotoTakenTypeDialog,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.register.onboard.component.step.PhotoScreen,PhotoScreen,1,0,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.register.onboard.component.step.PhotoPickScreen,PhotoPickScreen,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.register.onboard.component.step.GenderPicker,GenderPicker,1,0,1,0,0,0,0,0,1,5,
team.applemango.runnerbe.feature.register.onboard.component.step.JobPicker,JobPicker,1,0,1,0,0,0,0,0,1,5,
team.applemango.runnerbe.feature.register.onboard.component.step.TermsTable,TermsTable,1,0,1,0,0,0,0,0,1,6,
team.applemango.runnerbe.feature.register.onboard.component.step.YearPicker,YearPicker,1,0,1,0,0,0,0,0,1,9,
